job,sector,description
senior pega developer,servicios tecnologa­as informacia³n,wea€ ™ re looking for  remote senior pega developer  with  years of it experience on pega  x  x  and  x and other technologies to join our team  the customer is retailer of branded footwear and apparel  the company offers men  women  and children shoes  clothing  and accessories including sportswear for football  tennis  golf  running  basketball  and training purposes  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  participating in design to deployment related activities  guidance implementation  expected to have depth of knowledge of specified multiple technological areas  which includes knowledge of applicable processes  methodologies  standards  products  and frameworks  responsible for defining and documenting architecture  capturing and documenting non functional  architectural  requirements  preparing work estimates and defining technical solutions  configuration of key design solutions and complex product features  you are required to guide team of architects  who would be responsible specific architectural area or part of the architecture  solution  maintaining the security of all system applications  requirements  years of it experience on pega  x  x and  x  and other technologies  pega senior system architect certification is required  ability to prepare comprehensive technical specifications and solution architecture documentation  proficient with process methodology  development methodologies  agile  sdlc  iterative  excellent object oriented analysis and design skills and system integration skills  experience in web technologies including css  javascript  servlets  jsp  etc  strong knowledge of sql commands  pl  sql  t sql  experience in database performance tuning is desired  strong knowledge of oop concepts  understanding and hands on experience in design patterns  strong knowledge of soa and restful concepts  messaging  pub sub and point to point concepts  hands on experience in pega integration with external systems  strong knowledge of pega debugging and performance analysis tools  experience with ci  cd configuration and release management  experience with pega cloud  aws  or third party cloud hosted solutions  expert in analysis techniques and methodologies  expert knowledge in process design and workflow  ability to communicate and present to multiple stakeholder problem definitions and proposed solutions to complex it  technical and business issues  proficient in the architecture design methodologies required to support the pega  platform  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
coordinador acada © mico,dotacia³n seleccia³n personal,liderazgoresolucia³n conflictosproactividad capacidad resolutivo manejo herramientas interactivasmetodologia abpconstruccia³n curricular
middle automation tester,servicios tecnologa­as informacia³n,we are looking for  remote middle automation tester in javascript  with  years of qa experience to join our team  the customer is computer software company that provides marketing automation software and delivers solutions  the individual will perform all kinds of testing activities on the project  automation tasks and some manual testing tasks when it will be necessary  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  perform testing of web application  and optionally mobile application  create  update and fix automated tests  cucumber  javascript  requirements analysis  test documentation creation  participate in meetings with customer  review and analysis of automated tests results  direct communication with the customer  requirements  years of qa experience  years of functional testing of web applications  experience with any high level programming language  for example  java  c  python  javascript  etc  basic understanding of graphql  experience with teamcity  jenkins  github  self dependent and proactive attitude  at least half year commitment  english level  and above  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
middle react native software engineer,servicios tecnologa­as informacia³n,we are currently looking for  remote middle react native software engineer  with  years of react native experience to join our team  the client isa€¯a global leader in retail and wholesale pharmacy  touching millions of lives every day through dispensing and distributing medicines  the company more than  years of trusted healthcar heritage and innovation in community pharmacy and pharmaceutical wholesaling  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  build new react native app  integrate with our cloud based video editing api  implement new ui to expose new editing features  convert product requirements into actionable and tangible items for all stakeholders  contribute to the overall design  code  performance  security  release estimation  planning and timely integration with other stakeholders  product  app  backend  ui  ux  provide performance fixes and optimization  json api design and finalization  continuously discover  evaluate  and implement new best practices to maximize development quality efficiency  code review  build modular  efficient  testable  and reusable react components  requirements  years of react native  full stack work experience  knowledge of js frameworks  node js  react js angularjs  mongodb  and sass  skills in building and running production ready apis  ability to influence which tools  programming languages and technologies you work with  experience of providing smooth software pipeline for continuous and fast delivery  skills in balancing discovery phases with implementation work  ability to work both independently and in team  nice to have  native android or iphone development experience  experience developing in ionic  experience building saas service  user interface and visual design skills  experience with azure  aws  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
middle devops engineer,servicios tecnologa­as informacia³n,we are currently looking for  remote  middle devops engineer  with  years of devops experience  aws  and ansible proficiency to join our team  the customer is leading agriculture company helping to improve global food security by enabling millions of farmers to make better of available resources  through world class science and innovative crop solutions company commits to rescuing land from degradation  enhancing biodiversity  and revitalizing rural communities  the main pool of tasks is associated with the development of next gen chemical reaction data management system  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  take part in administering aws project cloud infrastructure  request new  tune existing  lambda  rds  batch  redshift  elk  take carer of logging and monitoring tools  elk  kibana  evolve and support ci  cd processes and build pipelines  jenkins  communicate with customer cloud support teams  set up and manage  clusters  configuration management in ansible  requirements  years of devops experience  strong experience with aws  expert knowledge of jenkins  ansible proficiency  strong knowledge of docker  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
ios mobile developer,servicios tecnologa­as informacia³n  software  internet,we are digitally native technology services company where innovation  design and engineering meet scale  we some of the latest technologies in the digital and cognitive field to empower organizations in every aspect  right now  we are looking for  mobile developers  to join our mobile studio at globant  this studio builds and evolves mobile applications  from inception to relear in stores  partnering with our client teams always looking for  star ratings  you will get the chance to  work with professionals who have created some of the most revolutionary solutions in their fields  make an impact  work in large scale projects globally  develop your career in our studios  each studio represents deep pockets of expertise on the latest technologies and trends and delivers tailored solutions focused on specific challenges  develop your career within an industry or multiple industries  work in the city you want  and be nourished by cultural exchanges  be empowered to choose your career path  we have more than  simultaneous projects  so you can choose where and how to work  be part of an agile pod  driven by culture of self regulated teamwork  each team  or pod  works directly with our customers with full maturity path that evolves as they increase speed  quality and autonomy  what will help you succeed  believe and love what you do  build bridges  open doors  enjoy solving problems  being capable of taking step back to look at bigger picture  bs in computer science or equivalent experience  skills  advanced or intermediate english skills  experience working with native ios development  cocoa touch  or android sdk  good understanding of ios or android architecture  patterns and open sourcers libraries  solid java ios and swift theoretical and practical knowledge  develops across the entire app life cycle a€concept  design  build  deploy  test  release to app store of playstore and support  proficient in scrum  agile methodologies  desirable objective c experience  excellent communication skills  are you ready  about globant  we have more than  professionals and we are present in  countries working for companies like linkedin  bbva  ea and coca cola  among others  we were also featured as business case study at harvard  mit  and stanford  we want you to join us to work for the biggest clients in tech  retail  travel  banking  and media  entertainment  revolutionizing and growing their core businesses while helping them  and you  stay ahead of the curvar  be part of company with the most cutting edge practices and technologies plus unique team  globant is an eoe m  f  d  v  for many positions relocation is available if needed  globant does not accept unsolicited  party resumes  job segment  developer  engineer  social media  computer science  java  technology  marketing  engineering
senior go language developer,servicios tecnologa­as informacia³n,currently  we are looking for  remote senior developer  with experience with strong experience with go language and familiar with google cloud to join our team  the customer is technology company that partners with customers to access energy  their people  representing over  nationalities  are providing leading digital solutions and deploying innovative technologies to enable performance and sustainability for the global energy industry  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  writing scalable  robust  testable  efficient  and easily maintainable code  translating softwar requirements into stable  working  high performance softwar  playing key role in architectural and design decisions  building toward an efficient micro services distributed architecture  requirements  experience with azure devops and git  familiar with google cloud  strong experience with go language  knowledge of node js  strong understanding of multi threading and distributed applications  knowledge of containerization technologies  docker  kubernetes  solid knowledge of restful architecture and cases  experienced in application profiling and bottleneck analysis  basic knowledge of nosql databar  understand continuous integration and continuous delivery  azure devops ci  cd  jenkins etc  experienced in modular design and library development for reuse  good communication skills  nice to have  experience with angular  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
senior  net  c  software engineer,servicios tecnologa­as informacia³n,we are currently looking for aa€¯ remotea€¯senior  net  c  software engineer  with  years of experience in  net  c  software development  years of team leading experience  experience with modern js frameworks  angular  react  knowledge of bug tracking systems to join our team  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  deliver the softwar product according to priorities  answer client inquiries in timely fashion  take part in meetings  technical discussions  requirements  years of experience in  net  c  software development  years team leading experience  solid  net development skills including  collections including understanding of operations cost  gc  deep understanding of multi threading and asynchronous concepts and experiencea€¯witha€¯  neta€¯core ora€¯asp  neta€¯mvc  web api  experience with modern js frameworks  angular  react  strong and solid communication skills  strong problem solving and analytical skills  knowledge of bug tracking systems  collaboration tools skills  english level  upper intermediate  nice to have  experience with node js  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
auxiliar comercio exterior,dotacia³n seleccia³n personal,requerir auxiliar aduana ta © cnico tecna³logo profesional comercio exterior ma­nimo  aa±o experiencia pre inspeccion cali debera ¡ persona responsable organizado importante manejo herramienta digital excel
test automation engineer,servicios tecnologa­as informacia³n  software  internet,we are digitally native technology services company where innovation  design and engineering meet scale  we some of the latest technologies in the digital and cognitive field to empower organizations in every aspect  right now  we are looking for  test automation engineer  to join our quality engineering studio  this studio provides comprehensive suite of innovative and robust testing services that ensure high quality products to meet the needs of demanding  technology avid users  the test automation engineer makes key contribution supporting end to end application delivery  constantly providing visibility of the actual quality of the products  verifying that they are always above our quality gates  you will get the chance to  work with professionals who have created some of the most revolutionary solutions in their fields  be empowered to choose your career path  we have more than  simultaneous projects  so you can choose where and how to work  be part of an agile pod  driven by culture of self regulated teamwork  each team  or pod  works directly with our customers  with full maturity path that evolves as they increase speed  quality and autonomy  design and develop test automation scripts  use test automation guidelines and participate in planning activities  research issues in software through testing  collaborate with qa analyst and software developers  keep updated with the latest standards  improve relear cycle times by reducing regression testing time  fully cover tests and design test cases clearly for different types of systems and tests  develop automated test scripts over different platforms  be responsible for test automation framework design and architecture on medium complexity solutions  what will help you succeed  being digitally passionate  build bridges and open doors  enjoy solving problems  being strategic thinker  expressing idea in simple way  intermediate or upper english skills  experience in some test automation tools  like selenium webdriver  appium  katalon  cypress  testcafe  etc  solid coding skills and object oriented programming  experience in api automation  experience including automated suites in the pipeline  experience in test management tools  experience using cloud devices  browsers providers  experience using version control systems  are you ready  about globant  we have more than  professionals and we are present in  countries working for companies like linkedin  bbva  ea and coca cola  among others  we were also featured as business case study at harvard  mit  and stanford  we want you to join us to work for the biggest clients in tech  retail  travel  banking  and media  entertainment  revolutionizing and growing their core businesses while helping them  and you  stay ahead of the curvar  be part of company with the most cutting edge practices and technologies plus unique team  globant is an eoe m  f  d  v  for many positions relocation is available if needed  globant does not accept unsolicited  party resumes  job segment  qa tester  engineer  social media  quality engineer  testing  quality  engineering  marketing  technology
senior automation tester  java,servicios tecnologa­as informacia³n,currently  we are looking for  remote senior automation tester  with strong knowledge of java  experience in maven and understanding of xml  json formats to join our team  the customer is an organization of  countries  working to foster global monetary cooperation  secure financial stability  facilitate international trade  promote high employment and sustainable economic growth  and reducir poverty around the world  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  requirements analysis  test cases implementation using java  defects reporting and verification  automation suites run and results analysis  work in tight collaboration with manual  performance and security teams  requirements  years of automation testing experience  experience in framework setup and driving from scratch  strong knowledge of java  experience in maven  understanding of xml and json formats  experience in api  rest assured  and ui  selenide  automation  test automation experience in big data  experience in db automation testing  strong sql knowledge  nice to have  experience in bi testing  experience in etl testing  experience in migration testing  familiar with financial services  experience with azure devops  strong written  verbal  and presentation skills  strong analytical and problem solving skills  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
senior java developer,servicios tecnologa­as informacia³n,as aa€¯ remote senior java developer  you will live on the front lines of the products we create  and build features used by millions of people every day  we are looking to welcome java developer to join our big account  grow with us and teach us few things along the way  being one of key people  you will work on project of large program  which epam successfully been executing for its key client  this customer is one of the biggest general retailers in north america with nearly  outlets from coast to coast  the project goal is to provide our customer with the brand new alternative solution to replace obsolete ibm  system  the application developed from the scratch using modern technology stack  the product designer to be spring based api  the app should also expose ui similar to ibm  to web  one more advantage of the project is the development approach  scrum based continuous delivery process with  scrum teams involvement should impress even experiencer agile evangelist  please note that even though you are applying for this position  you may be offereda€¯other projects to join within epam anywhere  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities  and access to community of experts  project technologies and tools  spring framework  spring web  spring batch  spring data  hibernate  mysql  mariadb  junit  ðœockito  requirements  deep knowledge of and  years of practical experience in java and  good understanding of development principles and paradigms  good knowledge of and practical experience with widely used frameworks  spring  hibernate or any other  production experience with agile practices is plus  good spoken and written english level  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  you will have  remote full time job  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
agente empresario,inmobiliarios comerciales  marketing publicidad  bienes inmobiliarios,empresa  centro formacia³n desarrollo negocio inmobiliario  buscar consolidar empresario actividad raa­ces formula comprobado resultado exitoso  modelo negocio comprobado mas  aa±os mercado  qua ©  ingresos limite  independencia  aprendizaje  manejo  dato relevante mercado  capacitacia³n constante  responsabilidades  gestia³n comercial  negociacion cierre  competencias  comunicacion efectivo  actitud servicio  tolerancia frusutracion  vincu com co ofertas cali  racines agente empresario  utm source linkedin agregadores linkedin   millon
middle devops engineer,servicios tecnologa­as informacia³n,we are currently looking for  remote middle devops engineer  with  years of experience in product development and cloud  azure experience to join our team  the customer is spanish multinational telecommunications company  it is one of the largest telephone operators and mobile network providers in the world  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  we accept cvs only in english  responsibilities  configure and support iptv platform with advancer tv services  manage and support customer environments in microsoft azure cloud  consult customers on technical aspects of installation  sizing  scaling  support development teams in technical questions of continuous integration  continuous delivery  delivery organizations  requirements  years of experience in product development  cloud  azure experience  degree in telecommunications or computer science  or similar field  experience in products development cycle  architecture design  software specification and validation  knowledge of improving reliability  efficiency  and performance of the system as whole  from the application to the databar  experience in improving the platform observability by measuring and monitoring the platform availability and system health  ability to work with geo distributed solutions  understanding of high availability solutions  experience in database analysis  bottlenecks identification  caching architecture designs  prior experience with some of the following technologies  tools  standards and protocols  opch  dvb ipi and fcc  ret  hls  hds  smooth streaming  mpeg dash  rtmp  rtsp  rtmpe  english level  spanish level  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
lead automation tester,servicios tecnologa­as informacia³n,we are looking for  remote lead automation tester in java  with  years of experience in automation testing  selenium wd  and java experience to join our team  our client is molecular information company dedicated to transformation in cancer care in which treatment is informed by deep understanding of the genomic changes that contribute to each patient s unique cancer  the company s clinical assays for solid tumors  hematologic malignancies  and sarcomas provide comprehensive genomic profile to identify the molecular alterations in patient s cancer and match them with relevant targeted therapies and clinical trials  companya€ ™ s molecular information platform aims to improve day to day care for patients by serving the needs of clinicians  academic researchers and drug developers to help advance the science of molecular medicine in cancer  through constant innovation  the company aims to make breakthroughs to help achieve improved outcomes for morar individuals living with cancer  its approach combines genomic profile products and data services to generate insights that can help doctors match patients to more treatment options and help accelerate the development of new therapies  the project team is working on migration of existent dynamics crm  on premises to dynamics  online as well as ongoing engineering for client s needs  please note that even though you are applying for this position  you may be offereda€¯other projects to join within epam anywhere a€¯  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities and access to community of experts  requirements  bachelora€ ™ s degree strongly preferred  years of experience in automation testing  good understanding of and experience in java programming language  strong understanding of xml path language  good understanding of kdd  bdd methodologies  experience in analysis of results and identification of bottlenecks  experience in working with git  experience in working with maven  ability to set up an automation framework  experience in working in page object model framework  expertise in jira  jira qtest plugin knowledge is plus  intermediate of higher english level  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  you will have  remote full time job  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
senior front end software engineer,servicios tecnologa­as informacia³n,currently  we are looking for  remote senior front end software engineer  you are the right applicant if you have solid relevant production experience and follow modern trends in web front end development  you will live on the front lines of the products we create and build features used by millions of people every day  our customer responsible for information architecture  user experience design  user interface design  and front end development  we work in various business domains to bring success to our clients  complex commerce solutions  banking  sport  logistics  project and people management  etc  we design and develop high loaded web based services and applications for desktop  tablets  mobile  and custom in store  kiosk  devices  we participate in pre sales activities  creating real data working prototypes  using cutting edge technologies  please note that even though you are applying for this position  you may be offereda€¯other projects to join within epam anywhere a€¯  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities  and access to community of experts  responsibilities  develop highly interactive web based services for data exploration and collaboration using massive textual data sets  requirements  years of commercial experience in front end development  excellent knowledge of  deep understanding of adaptive layouts creation for desktop and mobile browsers  strong core javascript  understanding of javascript concepts  closures  scopes  hoisting  context  oop  strong knowledge of jquery  underscore  lodash  experience in js build tools  g  gulp  grunt  webpack  experience in git  upper intermediate level of spoken and written english  nice to have  scalable and modular architecture for css  bem  smacss  oocss  precompiled css  sass  less  stylus  grid systems  susy  bootstrap  etc  experience with at least one modern js frameworks  angularjs  react  ember js  backbone js  familiarity with unit tests  we offer  competitive compensation depending on experience and skills  work in enterprise level projects on long term basis  you will have  remote full time job  unlimited access to learning courses  epam training courses  english regular  other  community of  industrya€ ™ s top professionals  this is remote position and we welcome applications from anywhere in colombia
agente empresario,inmobiliarios comerciales  marketing publicidad  bienes inmobiliarios,empresa  centro formacia³n desarrollo negocio inmobiliario  buscar consolidar empresario actividad raa­ces formula comprobado resultado exitoso  modelo negocio comprobado mas  aa±os mercado  qua ©  ingresos limite  independencia  aprendizaje  manejo  dato relevante mercado  capacitacia³n constante  responsabilidades  gestia³n comercial  negociacion cierre  competencias  comunicacion efectivo  actitud servicio  tolerancia frusutracion  vincu com co ofertas cali  racines agente empresario  utm source linkedin agregadores linkedin   millon
tornero,dotacia³n seleccia³n personal,requerir tecnico mecanico tornero especializado torno convencional conocimientos interpretacia³n plano material industrial procesos fabricacia³n pieza control manejo instrumento medicia³n capacidad innovacia³n fabricacia³n disea±o pieza adicional a¡rea ensamble mecanico pieza fabricar maquinaria liviano
senior ios engineer,servicios tecnologa­as informacia³n,we are looking for  remote senior ios engineer  with  years of experience in developing native ios applications  strong knowledge of ood  design pattern  experience in using git  jira  knowledge of objective c  and swift to join our team  our customer is one of the worlda€ ™ s largest food retail groups aiming to accelerate its online presence in the world  our project is about developing and scale new features  change  and support existing functionality for different brands in large ecommerce solution  which is based on the hybris ecommerce framework  the main goal is to develop technical foundation that allows quickly  and at low cost  to launch new features in flexible manner  to grow the market  and maximize return on operational base cost  to achieve it current development teams are adopting agile methodologies and working in close collaboration with product owners  third party vendors  and stakeholders from different departments  the account includes  distributed development  ui automation  and devops teams with proven potential to grow  please note that even though you are applying for this position  you may be offereda€¯other projects to join within epam anywhere a€¯  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities and access to community of experts  requirements  years of experience in developing native ios applications  strong knowledge of ood  design patterns  experience with  cocoa touch  iphone  ipad hig  kvo  kvc  multitasking  blocks  json  xml  core data  local and remote notifications  experience in unit tests will be plus  knowledge of objective c  knowledge of swift is plus  experience in using git  ability to analyze requirements  create technical designs  and write high quality code  good communication skills  experience communicating and working directly with the client  good spoken and written english  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  you will have  remote full time job  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
empalmador cable telecomunicacion,dotacia³n seleccia³n personal,espacio asignado habilidades competencias solicitud  empresa reporta informacia³n adicional
senior front end developer,servicios tecnologa­as informacia³n,we are currently looking for  remote senior front end developer  with experience with node js and knowledge of postgresql to join our team  the customer is british based stock exchange and financial information company  it helps companies to raise capital and investors to build their portfolios across range of global markets  please note that even though you are applying for this position  you may be offereda€¯other projects to join within epam anywhere a€¯  join epam anywhere to quickly and easily find projects that match your knowledge and experience  while working with forbes global  clients  building successful it career  and earning competitive rewards  the platform provides additional perks  including flexible schedule  professional development opportunities  and access to community of experts  we accept cvs only in english  responsibilities  develop new user facing features  build reusable code and libraries for future  assure that all user input is validated before submitting to back end  optimize application for maximum speer and scalability  collaborate with other team members and stakeholders  requirements  years of experience with node js development frameworks  knowledge of postgresql  knowledge of sso authentication  experience with webpack  nice to have  experience with aws cloud development kit  we offer  paid time off  sick leave with medical certificate  up to  days of paid sick leave  exceptional leave  marriage  child birth  close relative death  maternity leave  healthcare program  incl  family members  wellness programs  well being academy online activities  epam referral program  special gifts  welcome package  pass probation gift  anniversary gifts  internal learning programs  certification opportunities  this is remote position and we welcome applications from anywhere in colombia
nan,nan,nan
ta © cnico sistema refrigeracia³n aire acondicionado,dotacia³n seleccia³n personal,orientacia³n cliente servicio  experticia ta © cnica adaptacia³n cambio flexibilidad  orientacia³n resultado  gestia³n eficiente  proactividad dinamismo sentido urgencia  integridad personal © tico profesional  capacidad planeacia³n organizacia³n  maneja asertivo relacion interpersonales  conocimiento entorno direccion  conocimientos servicio atencia³n cliente  conocimientos reparacia³n mantenimiento electrodoma © sticos la­nea blanco  conocimientos ba¡sicos gestia³n loga­stica aparato la­nea blanco  conocimientos refrigeracia³n electra³nica
senior devops engineer,servicios tecnologa­as informacia³n,we are currently looking for  remote senior devops engineer  with experience with building ci  cd pipelines  terraform knowledge and experience with apollo to join our team  the customer is global automotive industry leader manufacturing vehicles in  countries or regions and marketing the companya€ ™ s products in over  countries and regions  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  we accept cvs only in english  responsibilities  provide solutions that have cloud implementation guardrails without mandating strict prescriptions  establish solid foundation for cloud investments and migration activities  provide self service cloud platform that is operationally efficient  create cloud coe and platform engineering team to move into the distributed devops model and decentralized devops model  make decentralizer devops models standards compliant  launch new cloud operating model to expedite cloud adoption securely and optimally  requirements  experience with building ci  cd pipelines  experience with apollo  experience with bosh  chef habitat  chef infra experience  pulumi knowledge  experience with puppet  rundeck experience  experience with saltstack  terraform knowledge  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
lead big data developer,servicios tecnologa­as informacia³n,the team is currently working on data warehouse and big data project for our client  the most trusted and esteemer source of visual content in the world  with over  million assets available through its industry leading sites  it serves creative  business and media customers in almost  countries and is the first place people turn to discover  purchar and share powerful content from the worlda€ ™ s best photographers and videographers  the company cooperates with over  contributors and hundreds of image partners to provide comprehensive coverage of more than  news  sport and entertainment events  impactful creative imagery to communicate any commercial concept and the worlda€ ™ s deepest digital archivar of historic photography  current project stage is re platforming from sql data warehouse to snowflake  looker technology  who you are  you are motivated by the technical challenges that comer with structured and unstructured data at an enterprise level  even more  you are energizer by bringing solutions and innovations that help the business move forward  you are passionate about building data platforms  frameworks and driving insights from complex multi structured datasets  please  note that even though you are applying for this position  you still can be offered other projects to join within epam anywhere  responsibilities  design  implement and deliver aws based analytical solutions  develop and maintain high performing etl  elt processes  including data quality and testing  own the data infrastructure including provisioning  monitoring and automation of infrastructure and application deployments  instrument monitoring and alerting  design and build data models for snowflake warehouse and hadoop based enterprise data lake  create and maintain infrastructure and application documentation  develop dashboards  reports and visualization  ensure scalability and high performance of the platform  design  enhance internally developed frameworks in python  requirements  ms  bs degree in computer science or related field  years hands on experience with designing and implementing data solutions that can handle terabytes of data  strong knowledge in modern distributed architectures and compute  data analytics  storage technologies on aws cloud  good understanding of infrastructure choices  sizing and cost of cloud infrastructure  services  hands on working experience in aws redshift or snowflake or google bigquery  hands on experience in administering  designing  developing  and maintaining software solutions in hadoop production clusters  solid understanding of architectural principles and design patterns  styles using parallel large scale distributed frameworks such as hadoop and spark  experience in spark and hive  solid experience with python  experience with terraform and docker  experience with open source job orchestration tools such as airflow or job scheduler  experience in reporting and visualization tools such as looker  tableau will be plus  outstanding analytical skills  excellent team player and delivery mindset  experience in performance troubleshooting  sql optimization  and benchmarking  experienced in unix environment such as creation of shell scripts  experience in agile methodologies  upper intermediate or higher english level  technologies  remote  job title  epam anywhere  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
nan,nan,nan
mercaderista,dotacia³n seleccia³n personal,espacio asignado habilidades competencias solicitud  empresa reporta informacia³n adicional
middle devops engineer,servicios tecnologa­as informacia³n,we are currently looking for  remote middle devops engineer  with prior experience performing software builds within devops environment  major experience with openshift on premise and hands on experience with ci  cd systems to join our team  the customer is one of the leading universal banks of russia  offering wide range of banking services and products in russia  cis  europe  asia  africa  and the u s  please note that even though you are applying for this position  you may be offered other projects to join within epam anywhere  responsibilities  work with devops team  currently  members  to establish reliable  platform as service  approach  work on implementation of opensshift with sla  on premise with lb  storage etc  consult and support dev teams  spread devops expertise and best practices  improve helm charts for deploy services to dev  uat  prod environments  establish iac management of openshift cluster  requirements  years of previous experience in development and operations  or related it  computer  or operations field  prior experience performing software builds within devops environment  hands on experience with ci  cd systems  major experience with openshift on premise  strong skills and experience in mlt monitoring logging tracing  working knowledge of devops toolset  ansible  terraform  helm  experience with common software development tools  such as  git  jira  ci  cd tools  etc  good communication and interpersonal skills  we offer  competitive compensation depending on experience and skills  work on enterprise level projects on long term basis  full time remote work  unlimited access to learning resources  epam training courses  english classes  internal library  community of  industry s top professionals  this is remote position and we welcome applications from anywhere in colombia
