,data
690,a¡en falabella retail talento ja³venes crecer estudiante universitario mercadeo ingeniera­a industrial administrativo apasionar area marketing esta¡s etapa pra¡cticas profesional oportunidad somosfalabella compaa±a­as ma¡s consolidado ama rico latino invitamos postularte practicaprofesional falabellaquierecrecercontigo marketing practicas
691,gerencia marketing latam profesional a¡reas administrativo afín aa±os experiencia posición liderazgo about our client empresa dispositivos dicos presencia ma¡s paa­ses job description gerencia marketing latam debera colaboracia³n venta servicio cliente cla­nica penetrar cuenta clientes obtener informacia³n comprensia³n desafa­os cliente desarrollar relación directo contacto clientes socio canal analizar capacidad respuesta programa marketing incluido programa participacia³n cambio programa futuro basado conocimientos servir experto funcional programa participacia³n llamado cliente comunicar estrategia programa resultado etc servicio cliente creacia³n posicionamiento informes clientes apoyar esfuerzo general marketing producto incluidos desarrollo materiales capacitacia³n venta incluido tarjeta batalla competencia preguntas frecuente manejo objeción etc the successful applicant perfil cumplir siguiente requerimiento profesional a¡reas administrativo afín postgrado ma­nimo aa±os experiencia aa±os posición liderazgo similar industria experiencia venta promocia³n dispositivo auditivo persona altamente orientado equipo organizado contar relación interpersonales liderazgo capacidad anala­tica comunicacia³n habilidad planificacia³n ejecucia³n estrata gica ingla intermedio avanzado what offer ofrecer pertenecer empresa este constante baºsqueda oportunidad contact pngjuana uribe henao quote job ref
692,gerencia administrativo financiero profesional administracia³n empresa ingeniera­a industrial afín deseable mba maestra­a especializacia³n finanzas about our client compaa±a­a sector loga­stico job description posicia³n gerencia administrativo financiero debera planear controlar presupuesto compaa±a­a manejar proyectar flujo caja gestionar relacia³n institución financiero local analizar rentabilidad compaa±a­a la­neas negocio generar alternativo maximizacia³n ingreso control costo supervisar operaciones contable reporte eeff casa matriz asa­ supervisar relacionado tema tributarios liderar proceso cartera recaudo liderar a¡reas gestia³n humano calidad facilities the successful applicant perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial finanzas economa­a afín deseable mba maestra­a especializacia³n finanzas experiencia general ma­nima aa±os experiencia especificar gerente administrativo financiero ma­nima aa±os ingla intermedio avanzado escala europeo realizara prueba experiencia implementar erps deseable sap what offer estabilidad proyeccia³n contact finance pngpaola bonilla quote job ref
693,contribuir experiencia clientes usuarios producto servicios presta compaa±a­a colombia chile aseguramiento oportunidad calidad proceso tomar pedido dema¡s solicitud cliente usuarios atencia³n oportuno calidad solicitud queja reclamo cliente usuarios garantizar debido trazabilidad respuesta satisfaccia³n coordinar requerimiento cliente usuarios a¡reas interno asegurar cumplimiento conformidad liderar medición satisfaccia³n cliente usuarios asa­ indicador asociado principal responsabilidad a€¢ coordinar proceso asociado operacia³n contact center colombia chile garantizar nivel servicio establecido contrato a€¢ seguimiento proceso tomar pedido la­neas negocio colombia chile a€¢ coordinar proceso agendamiento citas dicas referencia paciente divisia³n homecare a€¢ controlar proceso backoffice creacia³n cliente usuarios proveedor cambio precio a€¢ controlar seguimiento telefa³nico nivel tanques clientes planta a€¢ liderar comita cliente colombia chile a€¢ responsable administracia³n manejo respuesta reclamo cliente a¡reas gas industrial hospital carer homecare colombia chile a€¢ implementar estrategia servicio cliente establecido a¡reas negocio soporte colombia chile a€¢ liderar implementacia³n proyecto surgir comita cliente paa­ses mejorar nivel satisfaccia³n cliente usuarios a€¢ liderar encuestas satisfaccia³n cliente colombia chile acción correspondiente mejorar nivel satisfaccia³n a€¢ implementar administrar crm colombia chile a¡reas negocio hospital homecare a€¢ coordinar a¡reas negocio a¡reas soporte brindar servicio crc colombia chile a€¢ responsable cumplimiento presupuesto anual asignado operacia³n televentas a€¢ control presupuesto costo asociado contact center encuestas satisfaccia³n gasto asociado a€¢ velar correcto manejo imagen corporativo educacia³n profesional universitario preferiblemente orientacia³n carrera administracia³n empresa ingeniera­a industrial mercadeo sistema afín conocimientos especa­ficos administracia³n contact center manejo indicador gestia³n herramienta business intelligence excel avanzado paquete office general conocimiento conceptos servicio clientes marketing conocimiento herramientas financiero reportes habilidad negociacia³n dominio idioma ingla experiencia aa±os experiencia relacia³n clientes contact center marketing liderazgo proyecto
694,profesional mercado comunicacia³n publicidadperfil proactivo organizadoagil recursivo baºsqueda informacia³nbuen nivel ingles profesional mercado comunicacia³n publicidadperfil proactivo organizadoagil recursivo baºsqueda informacia³nbuen nivel ingles
695,profesional carrera administrativo economicas contablescursos diplomado sector solidario gestion general conocimiento legislacion sector economia solidario manejo herramienta informaticas bases dato simulador paquete office
696,habilidad autonoma­a equipo habilidad programacia³n auditorio inspecciones contribuir aseguramiento calidad inocuidad conformidad producto elaboradosupervisa producto encuentre estadodebe seguro tomar decisión presia³n ing quamica farmaca‰utica alimento experiencia bpm ind alimento bebido alcoha³licas industria farmaca uticaformacia³n bpm haccp sistema calidad intermedio officeestablece proceso materia ambientalcapacidad habilidad gestionar planificar dirigir actividad sistema gestia³n
697,profesional ingenieria sistema electronica telecomunicaciones certificado desarrollador sofware microsofnet sql server angular react node amplio conocimiento moviles dominio metodologias agiles scrum kanban devops
698,educacianformacia³n cnica tecnola³gica profesional administracia³n empresa ingeniera­a industrial contabilidad carrera afín apoyo gestia³n documental proceso administrativo na³mina experiencia ma­nima aa±o a¡rea gestia³n humanacontrato rmino indefinidol
699,empresa dedicado administracia³n propiedad horizontal este baºsqueda administrador delegado ma­nimo aa±o experiencia conocimiento ley importante contar experiencia centro dicossi cumplir perfil abstenerse aplicarexperienciaadministracia³n centro dicos aa±o deseabletipo puesto medio contrato
700,profesional carrera administrativo economicas contablescursos diplomado sector solidario gestion general conocimiento legislacion sector economia solidario manejo herramienta informaticas bases dato simulador paquete office
701,persona experiencia contabilidad software contable basico adiminstracia³n atencia³n cliente organizacia³n archivo excelente atencia³n cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
702,acreditar estudio profesional ingeniero civil matra­cula profesional vigente conocimientos experiencia manejo plan ambiental cumplimiento normatividad ambiental experiencia general superior treinta mes poseer experiencia relacionado cargo superior treinta veinticuatro mes
703,introduccia³n ibm ma¡s vocacia³n construir disea±ar codificar consultar pensar cliente vender crear mercado inventar colaborar creya³ posible frente tecnologa­a resolver problema ma¡s exigente mundo funcia³n responsabilidad comprador garantizar cumplimiento pola­ticas compra solicitud presupuesto preparacion propuesto adjudicacia³n creacion pedido administrar registro cambios maestro proveedor administrar creacia³n modificacion cata¡logos gestia³n contrato negociacia³n informe medicia³n compra nivel servicio ahorro etc experiencia profesional cnica necesario rol cnicos tecna³logos programa administrativo administracia³n empresa economa­a comercio carrera relacionado gestia³n paquetes oficina aa±o experiencia comprador gestia³n sap experiencia profesional cnica preferido ingles intermedio acerca unidad negocio ibm services equipo consultores negocios estrategia tecnologa­a disea±an construir ejecutar sistema servicio fundamental columna vertebral economa­a mundial ibm services asocia compaa±a­as la­deres ma¡s paa­ses desarrollar negocio ma¡s inteligente reimaginar reinventar trava tecnologa­a metodologa­as centrado resultado portafolio la­der industria experiencia investigacia³n operaciones nivel innovacia³n basado resultado excelencia duradero vida ibm a¿qua importar este buscar pra³ximo reto profesional quiera involucrarse realmente cambiar mundo a¿qua oportunidad desarrollo carrera increa­bles diverso realmente descubrir pasia³n a¿esta buscar cultura apertura colaboracia³n confianza voz a¿y qua asa­ ibm podra­a pra³ximo reto profesional asnar creya³ posible impacto inclusia³n experiencia infinito hacer vida acerca ibm ibm empresa la­der plataforma nube solución cognitivo reinventa¡ndonos descanso empleador consultora­a tecnologa­a ma¡s grande mundo ma¡s empleado atender clientes paa­ses watson plataforma basado dato empresa construir solución basado industria solucionar problema mundo real declaracia³n ubicacia³n obtener ma¡s informacia³n acerca requisito ubicacia³n hablar reclutador despua enva­e solicitud ibm ibm esforzar crear entorno diverso enorgullecer empresa regir igualdad oportunidad tendra¡n solicitante calificado independientemente raza color religia³n sexo expresia³n identidad sexual orientacia³n sexual paa­s origen gena tico discapacidad edad veterano guerra ibm tambia comprometer cumplir pra¡cticas justo relacia³n condicia³n ciudadana­a inmigracia³n
704,habilidad comunicacia³n oral escrito plataforma digital persona proactiva enfocado anala­tica dina¡mica organizado atencia³n detalle actitud liderazgo equipo orientacia³n resultado excelente presentacia³n personal caso omiso proceso retro alimentacian ley educacia³n ma­nima egresado tecnologa sena educacia³n ma­nima universidad asltimos semestre carrera profesional aa±os experiencia edad mujer aa±os conocimientos microsoft excel avanzado disponibilidad viajar disponibilidad cambio residencia caso omiso proceso retro alimentacian ley
705,perfil koaj permoda oportunidad a¡rea canal commerce cnicos contabilidad administracia³n empresa financiero economa­a ingeniera­a industrial afín aa±os experiencia cargo relacionado conocimiento servicio cliente interno externo principal actividad sera apoyar gestia³n a¡rea comercial acuerdo pola­tica establecido contribuir respuesta oportuno cliente interno asegurar informacia³n veraz oportuno plus contar manejo paquete office a¡esta oportunidad esperar descripcia³n oferta paas colombia ciudad bogota area comercial tipo contrato termino indefinido pro log jornada laboral rango salarial
706,coordinador gestia³n comercial administrativo responsabilidad garantizar seguimiento frente resultado fuerza comercial libranza nivel nacional acompaa±amiento frente proceso back capacitación pola­ticas generar estrategia apoyo la­der comercial cumplir plan comerciales estipulado generar estrategia promover compromiso sentido pertenencia empoderamiento personal cargo lograr mecanismo controlcoordinar controlar cumplimiento estrategia comerciales administrativo originar planeacia³n compaa±a­aprestar capacitacia³n asesora­a fuerza comercial mejorar habilidad venta
707,community manager instagram unc administrar gestionar comunidad virtual trava red social pa¡gina web block virtual seguimiento comportamiento usuarios frente marca compaa±a­as departamento comunicaciones publicidad relación paºblicas empresa construir visibilidad marca liderazgo pensamiento community manager instagram unc objetivo crm ayudar productores liberar potencial gena tico planta hacia ndolos ma¡s rentable integracia³n mensaje contenido educativo demostrativo convincente valioso clientes funcia³n trabajara directamente equipo unc colombiaeeuu
708,encargado velar mantenimiento correcto funcionamiento maquinaria utilizada proceso produccia³n garantizar calidad registro documental procedimiento utilizado eficiencia productividad equipo requerir experiencia especifica procesamiento plastico
709,conocimiento obligatorio sistema contable world oficce pra¡ctica función interacciones
710,jefatura producto ma­nimo aa±os experiencia a¡rea comercial manejo compra presupuesto about our client importante multinacional reconocimiento industria producto lujo jefatura producto debera job description gestionar ejecucia³n marca representado maximizar venta herramientas mercadeo estrategia comerciales acompaa±amiento personal desarrollar compra manejar inventario gestionar plan venta desarrollar marca cargo mercadeo merchandising the successful applicant perfil cumplir siguiente requerimiento ma­nimo aa±os experiencia a¡rea comercial manejo compra presupuesto experiencia a¡rea comercial mercadeo arta­culos lujo moda conocimientos experiencia marketing digital excelente relacionamiento proveedor cliente ingla avanzado ma­nimo excluyente manejo sap plus what offer atractivo paquete salarial oportunidad desarrollo profesional contact laura anzola guerrero quote job ref
711,empresa dedicado administracia³n propiedad horizontal este baºsqueda administrador delegado ma­nimo aa±o experiencia conocimiento ley importante contar experiencia centro dicossi cumplir perfil abstenerse aplicarexperienciaadministracia³n centro dicos aa±o deseabletipo puesto medio contrato
712,encargado velar mantenimiento correcto funcionamiento maquinaria utilizada proceso produccia³n garantizar calidad registro documental procedimiento utilizado eficiencia productividad equipo requerir experiencia especifica procesamiento plastico
713,perfil koaj permoda oportunidad a¡rea canal commerce cnicos contabilidad administracia³n empresa financiero economa­a ingeniera­a industrial afín aa±os experiencia cargo relacionado conocimiento servicio cliente interno externo principal actividad sera apoyar gestia³n a¡rea comercial acuerdo pola­tica establecido contribuir respuesta oportuno cliente interno asegurar informacia³n veraz oportuno plus contar manejo paquete office a¡esta oportunidad esperar descripcia³n oferta paas colombia ciudad bogota area comercial tipo contrato termino indefinido pro log jornada laboral rango salarial
714,empresa dedicado administracia³n propiedad horizontal este baºsqueda administrador delegado ma­nimo aa±o experiencia conocimiento ley importante contar experiencia centro dicossi cumplir perfil abstenerse aplicarexperienciaadministracia³n centro dicos aa±o deseabletipo puesto medio contrato
715,direccia³n implementacia³n proyecto tic profesional administrador empresa ingenieria fin mas aa±os experiencia sector telecomunicaciones about our client importante compaa±a­a telecomunicación job description direccia³n implementacia³n proyecto tic debera gestionar indicador estrata gicos asegurar implementacia³n proyecto servicios tic asegurar implementacia³n solución dedicado asegurar control presupuestal the successful applicant perfil cumplir siguiente requerimiento profesional mas aa±os experiencia direccia³n proyecto infraestructura sector telecomunicación persona encargado administracia³n soporte gestia³n implementacia³n servicio redes telecomunicaciones capacidad coordinacia³n liderazgo equipo indicador gestia³n what offer autonoma­a tomar decisión responsabilidad nivel nacional contact natalia betancur quote job ref
716,candidato ideal persona comercial habilidad liderazgo equipo comunicacia³n alto orientacia³n cliente creativa alto orientacia³n logro tendra cargo coordinacia³n gestia³n comercial funcionamiento administrativo oficina asignado trabajar interdisciplinaria contribuir consecucia³n masivo producto la­der comercial responsabilidad garantizar cumplimiento meta establecido zona bogota responsabilidad este colocacia³n comercial producto trava generacia³n estrategia seguimiento acompaa±amiento personal cargo cumplir plan comerciales estipulado
717,profesional producto experiencia pra¡ctica profesional aa±os profesional administracia³n empresa ingeniera­a industrial afín about our client cliente asegurador mas grande paa­s job description posicia³n profesional producto debera ana¡lisis producto benchmarks mapeo necesario crear producto seguros comercializar canal digital compaa±a­a gestionar creacia³n producto seguros digital a¡rea cnica suscripcia³n reaseguro compaa±a­a construir validar condicionado texto coberturas normativo material publicar producto campaa±as digital asa­ actualización necesario cara¡cter normativo cnico segaºn priorizacia³n hecho product owner definicia³n construccia³n conjunta pricing seguros digital equipo actuara­a campaa±a the successful applicant perfil cumplir siguiente requerimiento experiencia pra¡ctica profesional aa±os destreza ejecucia³n rol desarrollo actividad cargo profesional administracia³n empresa ingeniera­a industrial carrera afín experiencia desarrollo producto seguros what offer equipo producto digital mejores asegurador paa­s contact juan diaz quote job ref
718,experiencia call center facilidad expresia³n habilidad comunicacia³n telefa³nica servicio cliente orientacia³n resultado excelente presentacia³n personal capacidad estrata gica autonoma­a bachiller aptimo manejo paquete office agilidad actitud aprendizaje seguimiento instrucción alto capacidad empata­a persuasia³n
719,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
720,reportar customer service operations manager buscar mejorar da­as tienda la­nea fascinara­a empresa forma comaºn gustar ra¡pido apasionado impacto directo crecimiento linio empresa joven horizontal sor formado gente joven lleno energa­a empresa abierta libre confiamos potencial gente decisión puntos pensar cliente empa¡ticos suceder a­ntegros seguros xito alcanzar duro constante da­a da­a esforzar cliente experiencia compra la­nea mucha­simo seguir trabajar trabajar lograr vida ma¡s fa¡cil latinoamericano necesitar equipo buscar coordinador customer service sumar equipo centro servicio regional linio colombia misia³n supervisar dirigir actividad equipo agente asignado lograr meta servicio cliente garantizar solucia³n atencia³n calidad clientes responsabilidad verificacia³n conexiones accesos herramientas genesys alice bob oro wms agent salesforce parlar postcenter seguimiento cumplimiento indicador servicio tra¡fico recibido tmo llamado atendido escalamiento fcr calidad servicio productividad absentismo rotacia³n analizar resultado gestionar oportunamente mejora otorgar feedbacks oportuno equipo documentarlos control performance diario mensual garantizar resolucia³n caso contacto generar tipificación correcto solicitud cliente garantizar cumplimiento pola­ticas establecido normas sala cuidado equipo mobiliario clave contrasea±as proveer gestionar iniciativo proceso internos servicio pro mejorar experiencia cliente rentabilidad negocio requisito profesional estudiante aºltimos semestre carrera profesional ingeniera­a carrera administrativo afín conocimientos paquete office word excel powerpoint tricas call center deseable experiencia ma­nima aa±o supervisar equipo limitativo competencia orientado resultado vocacia³n servicio planificacia³n sentido urgencia manejo conflicto liderazgo capacidad influir dema¡s comunicacia³n interpersonal equipo habilidad numa rico visia³n negocio posicia³n interesante invitamos mars familia linio quieres ma¡s powered jazzhr
721,a¡en falabella retail talento ja³venes crecer estudiante universitario mercadeo ingeniera­a industrial administrativo apasionar area marketing esta¡s etapa pra¡cticas profesional oportunidad somosfalabella compaa±a­as ma¡s consolidado ama rico latino invitamos postularte practicaprofesional falabellaquierecrecercontigo marketing practicas
722,empresa dedicado sector hidrocarburos buscar pieducacianbachiller deseable formacia³n integral seguridad general capita¡n retirado fuerza militar experiencia ma­nima aa±os sector hidrocarburos supervisar proyecto seguridad fa­sica prevencia³n riesgo laboralescontrato obraturno
723,coordinador gestia³n comercial administrativo responsabilidad garantizar seguimiento frente resultado fuerza comercial libranza nivel nacional acompaa±amiento frente proceso back capacitación pola­ticas generar estrategia apoyo la­der comercial cumplir plan comerciales estipulado generar estrategia promover compromiso sentido pertenencia empoderamiento personal cargo lograr mecanismo controlcoordinar controlar cumplimiento estrategia comerciales administrativo originar planeacia³n compaa±a­aprestar capacitacia³n asesora­a fuerza comercial mejorar habilidad venta
724,acreditar estudio profesional ingeniero civil matra­cula profesional vigente conocimientos experiencia manejo plan ambiental cumplimiento normatividad ambiental experiencia general superior treinta mes poseer experiencia relacionado cargo superior treinta veinticuatro mes
725,persona experiencia contabilidad software contable basico adiminstracia³n atencia³n cliente organizacia³n archivo excelente atencia³n cliente puntualidad actitud manejo personalcontabilidad siigo finanzas administracion servicio clientetecnico profesional
726,dominio conversacional ingla portugua sdeseable experiencia mesa ayuda mesa servicio atencia³n incidente cnicosexcelentes relación personal comunicacia³n atencia³n cliente proactivo comunicacia³n iniciativa equipo compromiso orientacia³n cliente
727,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
728,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
729,importante empresa sector textil requerir vincular equipo jefe inventarios ma­nimo aa±os experienciaconocimientos administracia³n inventarios alto nivel ana¡lisis loga­stica generalconocimientos ba¡sicos calidad generacia³n informes sugerencias tomar decisión comunicacia³n asertivo personal cargo jefe inventarios comunicacia³n asertivo personal cargo critico anala­tico
730,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
731,profesional carrera administrativo economicas contablescursos diplomado sector solidario gestion general conocimiento legislacion sector economia solidario manejo herramienta informaticas bases dato simulador paquete office
732,gerencia paqueteo profesional administracia³n empresa ingeniera­a industrial afín experiencia aa±os trabajar empresa servicio loga­sticos about our client importante compaa±a­a servicio loga­sticos cobertura nacional internacional gerencia paqueteo debera job description responsable estructuracia³n desarrollo operacia³n paqueteo crossdocking nivel nacional desarrollar modelo loga­sticos mejorar optimizacia³n proceso eficiencia operacia³n acuerdo niveles servicio clientes organizacia³n the successful applicant perfil cumplir siguiente requerimiento experiencia ma­nima aa±os trabajar empresa servicio loga­sticos contract logistics paqueteo cobertura nivel nacional debera profesional administracia³n empresa ingeniera­a industrial carrera fin estudio adicional loga­stica excelente habilidad liderazgo equipo pensamiento estrata gicos tomar decisión what offer paquete salarial competitivo contact luisa lievano quote job ref
733,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
734,direccia³n implementacia³n proyecto tic profesional administrador empresa ingenieria fin mas aa±os experiencia sector telecomunicaciones about our client importante compaa±a­a telecomunicación job description direccia³n implementacia³n proyecto tic debera gestionar indicador estrata gicos asegurar implementacia³n proyecto servicios tic asegurar implementacia³n solución dedicado asegurar control presupuestal the successful applicant perfil cumplir siguiente requerimiento profesional mas aa±os experiencia direccia³n proyecto infraestructura sector telecomunicación persona encargado administracia³n soporte gestia³n implementacia³n servicio redes telecomunicaciones capacidad coordinacia³n liderazgo equipo indicador gestia³n what offer autonoma­a tomar decisión responsabilidad nivel nacional contact natalia betancur quote job ref
735,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
736,gerencia recursos humano conocimiento procesos recursos humano experiencia reclutamiento seleccia³n personal about our client cliente importante empresa sector energa­a job description reportar gerencia general gerencia recursos humano debera elaborar controlar proceso atraccia³n reclutamiento seleccia³n induccia³n personal proyectar coordinar ejecutar programa capacitacia³n entrenamiento empleado creacia³n estrategia ejecucia³n plan bienestar trabajador mejorar ambiente productividad seguimiento sst sistema gestia³n seguridad salud liderar proceso na³mina seguimiento the successful applicant perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial carrera afín ma­nimo aa±os experiencia a¡rea recursos humano profesional experiencia equipo recursos humano conocimientos manejo administracia³n personal na³mina indispensable nivel ingla avanzado medio mes despua completo what offer ofrecer pertenecer empresa sector energa­a beneficio equipo comunicacia³n asertivo orientacia³n resultado contact lina maria melo quote job ref
737,experiencia call center facilidad expresia³n habilidad comunicacia³n telefa³nica servicio cliente orientacia³n resultado excelente presentacia³n personal capacidad estrata gica autonoma­a bachiller aptimo manejo paquete office agilidad actitud aprendizaje seguimiento instrucción alto capacidad empata­a persuasia³n
738,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
739,candidato programa gmt profesional a¡rea bilinga¼e about our client importante empresa colombiano job description posicia³n candidato programa gmt debera rotacia³n aa±o a¡reas compaa±a­a aprendizaje one one la­deres capacitación reto diverso responsabilidad oportunidad ocupar cargo desafiante bavaria the successful applicant perfil cumplir siguiente requerimiento profesional a¡rea bilinga¼e aa±os experiencia what offer interesante paquete salarial contact valentino ortiz quote job ref
740,ta­tulo tecna³logo aa±os estudio universitarios relacionado especialidad objeto formacia³n preferiblemente certificacia³n internacional desarrollo producto multimedia plataformas disea±o veinticuatro mes experiencia dieciocho mes estara¡n relacionado ejercicio profesia³n oficio objeto formacia³n profesional mes labores docencia
741,gerencia marketing latam profesional a¡reas administrativo afín aa±os experiencia posición liderazgo about our client empresa dispositivos dicos presencia ma¡s paa­ses job description gerencia marketing latam debera colaboracia³n venta servicio cliente cla­nica penetrar cuenta clientes obtener informacia³n comprensia³n desafa­os cliente desarrollar relación directo contacto clientes socio canal analizar capacidad respuesta programa marketing incluido programa participacia³n cambio programa futuro basado conocimientos servir experto funcional programa participacia³n llamado cliente comunicar estrategia programa resultado etc servicio cliente creacia³n posicionamiento informes clientes apoyar esfuerzo general marketing producto incluidos desarrollo materiales capacitacia³n venta incluido tarjeta batalla competencia preguntas frecuente manejo objeción etc the successful applicant perfil cumplir siguiente requerimiento profesional a¡reas administrativo afín postgrado ma­nimo aa±os experiencia aa±os posición liderazgo similar industria experiencia venta promocia³n dispositivo auditivo persona altamente orientado equipo organizado contar relación interpersonales liderazgo capacidad anala­tica comunicacia³n habilidad planificacia³n ejecucia³n estrata gica ingla intermedio avanzado what offer ofrecer pertenecer empresa este constante baºsqueda oportunidad contact pngjuana uribe henao quote job ref
742,ta­tulo tecna³logo aa±os estudio universitarios relacionado especialidad objeto formacia³n preferiblemente certificacia³n internacional desarrollo producto multimedia plataformas disea±o veinticuatro mes experiencia dieciocho mes estara¡n relacionado ejercicio profesia³n oficio objeto formacia³n profesional mes labores docencia
743,profesional universitario tecna³logo administracia³n empresa contadura­a ciencia afín profesional universitario tecna³logo mercadologa­a mercadeo publicidad mercadeo publicidad venta mercadotecnia profesional tecna³logo programa formacia³n relacionado proceso gestia³n loga­stica cadena abastecimiento minimo veinticuatro mes ejercicio profesia³n oficio objeto formacia³n profesional aa±o labores docencia mercadeo
744,capacidad equipoinnovacia³ncreatividadcapacidad organizacia³n planificacia³n aptitud dibujar precisia³n claridadaptitudes disea±o asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar cra­ticas rechazo
745,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
746,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
747,dirigir grupo pro actividad autonoma­a habilidad interrelacionarse gente empresa perfiles social fuerte foco implementacia³n acción analizar proponer propuesto accia³n consecucia³n objetivo planteado proyecto capacidad manejar maºltiples tarea disposicia³n actividad campo equipo ana¡lisis dato reportes orientacia³n cliente comunicacia³n efectivo organizacia³n manejo herramienta office
748,analista negocios profesional estudiante aºltimos semestre economa­a administracia³n afin manejo excel intermedio about our client cliente empresa reconocido mercado brindar solución confiable oportuno manejo almacenamiento dispensacia³n medicamento hospitales farmacias job description posicia³n analista negocio debera generacia³n indicador gestia³n ana¡lisis mercado indicador econa³micos apoyo soporte gerencia general ana¡lisis precio costos producto asa­ tambia numa rico tendencia actualizacia³n seguimiento informacia³n listo precio rentabilidad producto actualizacia³n informacia³n ficha cnicas elaboracia³n informes econa³micos permitir tomar decisión acertado the successful applicant perfil cumplir siguiente requerimiento profesional estudiante aºltimos semestre economa­a administracia³n empresa carreras afín habilidad numa rico capacidad ana¡lisis nfasis conocimientos a¡rea comercial     aa±os experiencia cargo similar utilizar herramienta crm ocasión anterior manejo excel intermedio plus manejar siigo what offer crecer profesionalmente empresa reconocido sector contact irene castellano sofan quote job ref
749,your next step rappi rappi one the first latin american unicorns and start that continues focus growing and making life easier for our users company seek continue improving the services already offer add more our offer and continue expanding throughout the latin american continent buscar personal banker rappipay colombia rol podra¡s equipo aºnico exclusivo tendra¡s oportunidad persona contacto directo usuario permitira conocerlos generar insights ana¡lisis detallado necesidad actual personal banker brindar servicio premium cuenta usuarios alto rappipay aumentar nps portafolio garantizar experiencia usuarios adema¡s personal banker debera analizar data crear estrategia potencializar transaccionalidad clientes main responsibilities satisfaccia³n cliente cracks apasionado servicio cliente ayudar aumentar nps crear ventaja competitivo ma¡s fuerte mercado adema¡s brindar servicio aºnico cliente medio chats emails llamado telefa³nicas ana¡lisis recolectar analizar feedbacks sugerencias usuario indispensable crecimiento rappipay venta aumentar transaccionalidad portafolio diversificar incrementar producto servicios compaa±a­a key requirements apasionado servicio actitud proactividad lograr atencia³n personalizado growth mindset empata­a usuario desired background nivel estudio profesional actual recio egresado proceso grado lea­do acepto autorizacia³n dato personal rappi docs google com document pub conforme pola­tica tratamiento dato personal legal rappi com colombia politica proteccion tratamiento dato personal rappi have read and accept the authorization personal data from rappi docs google com document pub accordance with the personal data treatment policy legal rappi com colombia autorizacion tratamiento dato personal rappitenderos rappi
750,managing director experiencia mundo consultora­a tecnologa­a preferiblemente ingles avanzado about our client firma consultora marcar diferencia sector consultora­a nivel mundial proceso cercano cliente identificar necesidad formular estrategia ejecutable mejorar proceso clientes asa­ consumidor final salgar beneficiado ecuacia³n job description principal responsabilidad posicia³n managing director sera¡n cargo softlanding compaa±a­a colombia representacia³n legal desarrollo estructuracia³n equipo equipo ingeniera­a data strategy mano partners aliado estrata gicos negocio unido argentina responsabilidad opex capex velar resultado pactado principio reporte directo atender necesidad clientes nivel global regional local liderar proceso potencial compaa±a­as the successful applicant perfil cumplir siguiente requerimiento conocimiento experiencia mundo consultora­a tecnologa­a preferiblemente experiencia liderar delivery clientes mix conocimientos cnicos tecnologa­as componente estrata gico liderar hands sera emplear colombia contar talento cnico ingeniera­a data dominar lenguaje cnicos lograr interpretar necesidad offerings cliente carrera afín ingeniera­a sistema camino management liderazgo equipo inspirador decisia³n criterio ingles avanzado relacionamiento clevel chief strategy officer chief technology officer chief comercial officer chief operation officer chief executive officer principal interlocutor what offer atractivo paquete salarial plan carrera definido salario fijo mensual bono resultado anualizado plan medicina pre pagado familiar car allowance equity contact diego monroy quote job ref
